state,pop_densitypermile2
Alabama,94.40
Alaska,1.20
Arizona,56.30
Arkansas,56.00
California,239.10
Colorado,48.50
Connecticut,738.10
Delaware,460.80
District of Columbia,9856.50
Florida,350.60
Georgia,168.40
Hawaii,211.80
Idaho,19.00
Illinois,231.10
Indiana,181.00
Iowa,54.50
Kansas,34.90
Kentucky,109.90
Louisiana,104.90
Maine,43.10
Maryland,594.80
Massachusetts,839.40
Michigan,174.80
Minnesota,66.60
Mississippi,63.20
Missouri,87.10
Montana,6.80
Nebraska,23.80
Nevada,24.60
New Hampshire,147.00
New Jersey,1195.50
New Mexico,17.00
New York,411.20
North Carolina,196.10
North Dakota,9.70
Ohio,282.30
Oklahoma,54.70
Oregon,39.90
Pennsylvania,283.90
Rhode Island,1018.10
South Carolina,153.90
South Dakota,10.70
Tennessee,153.90
Texas,96.30
Utah,33.60
Vermont,67.90
Virginia,202.60
Washington,101.20
West Virginia,77.10
Wisconsin,105.00
Wyoming,5.80
Puerto Rico,1088.20
